,CLIP-Adapter,2,86.13,82.03,20.05,52.13,63.07,57.87,77.77,62.3,89.42,64.17,61.3,65.11,
,Tip-Adapter,2,86.97,79.01,21.24,49.65,61.43,58.55,77.5,62.72,88.32,64.76,60.94,64.64,
,Tip-Adapter-F,2,87.08,83.19,23.76,54.14,66.19,60.79,77.73,63.77,89.94,66.38,61.69,66.79,
,Tip-X,2,87.95,79.41,21.93,50.11,61.54,60.27,77.53,63.38,88.6,66.45,61.03,65.29,
,APE,2,87.06,83.68,22.89,58.63,62.86,61.39,77.64,65.93,90.99,65.72,62.34,67.19,
,APE-T,2,87.3,87.9,25.59,58.81,71.62,63.86,78.06,67.32,90.79,69.23,63.25,69.43,
,LDC,2,87.19±x x,86.48±x x,21.54±x x,54.67±x x,74.64±x x,59.77±x x,77.37±x x,64.55±x x,90.22±x x,69.81±x x,61.25±x x,67.95,#DIV/0!
,SeMoBridge,2,86.61±1.00 0:00:00,84.22±0.71 0:00:00,23.72±0.24 0:00:00,56.56±1.61 0:00:00,66.33±1.38 0:00:00,62.15±0.50 0:00:00,78.01±0.07 0:00:00,66.15±0.10 0:00:00,91.17±0.23 0:00:00,70.19±1.37 0:00:00,62.47±0.18 0:00:00,67.96,
,SeMoBridge-T,2,88.62±0.03 0:00:29,87.27±0.86 0:00:28,25.10±0.43 0:00:20,58.10±1.00 0:00:23,73.07±2.21 0:00:22,64.91±0.44 0:00:29,78.43±0.06 0:00:36,67.22±0.09 0:00:23,91.85±0.58 0:00:25,71.30±0.72 0:00:28,63.04±0.07 0:00:25,69.90,0:00:26
,CoOp,4,86.70,86.20,21.87,53.49,70.18,62.62,73.33,63.47,89.55,67.03,59.99,66.77,
,CLIP-Adapter,4,86.76,87.13,22.47,57.07,73.14,58.97,78.1,63.7,89.98,69.1,61.85,68.02,
,Tip-Adapter,4,86.48,83.8,22.14,53.96,65.52,61.52,77.52,64.24,89.21,66.19,60.98,66.51,
,Tip-Adapter-F,4,87.24,89.44,26.16,57.74,73.46,64.92,78.14,65.59,91.12,70.98,62.52,69.76,
,Tip-X,4,88.28,85.92,22.92,55.2,68.14,63.84,77.5,64.94,89.29,66.87,61.1,67.64,
,APE,4,87.31,87.9,24.39,60.7,70.33,65.09,77.59,66.64,91.81,69.92,62.54,69.47,
,APE-T,4,88.53,92.08,29.16,65.48,74.72,68.41,78.57,69.05,91.67,73.43,63.66,72.25,
,LDC,4,88.06±x x,91.56±x x,26.43±x x,59.34±x x,80.49±x x,64.82±x x,77.81±x x,67.82±x x,90.83±x x,74.12±x x,62.47±x x,71.25,#DIV/0!
,SeMoBridge,4,87.45±0.47 0:00:00,87.02±0.50 0:00:00,26.47±0.38 0:00:00,59.46±0.81 0:00:00,72.31±3.26 0:00:00,66.12±0.63 0:00:00,78.26±0.03 0:00:00,67.45±0.37 0:00:00,91.96±0.65 0:00:00,72.26±0.27 0:00:00,62.92±0.06 0:00:00,70.15,
,SeMoBridge-T,4,88.38±0.25 0:00:29,91.39±0.74 0:00:28,28.03±0.46 0:00:25,62.19±0.99 0:00:21,75.96±2.60 0:00:24,68.75±0.92 0:00:26,78.81±0.08 0:00:41,69.06±0.32 0:00:23,92.84±0.29 0:00:30,73.93±0.41 0:00:24,63.62±0.06 0:00:27,72.09,0:00:27
,CoOp,8,85.32,91.18,26.13,59.97,76.73,68.43,71.82,65.52,90.21,71.94,61.56,69.89,
,CLIP-Adapter,8,87.93,90.5,27.37,61.33,78,68.02,78.53,67.42,91.95,72.9,62.8,71.52,
,Tip-Adapter,8,86.94,87.9,25.5,58.39,67.96,63.08,77.7,65.59,89.57,68.46,61.45,68.41,
,Tip-Adapter-F,8,88.09,91.72,30.27,62.65,78.04,69.39,78.51,69.19,92.01,74.65,64,72.59,
,Tip-X,8,89.12,88.59,26.91,59.33,68.85,65.81,77.87,66.28,89.81,68.88,61.57,69.37,
,APE,8,87.55,91.11,28.32,66.08,74.51,66.71,78.27,68.37,91.93,71.74,62.79,71.58,
,APE-T,8,88.83,94.68,33.36,67.02,80.73,71.38,78.86,71.1,93.02,75.43,64.80,74.47,
,LDC,8,89.10±x x,93.75±x x,39.36±x x,65.84±x x,87.89±x x,74.38±x x,78.98±x x,70.63±x x,92.62±x x,77.03±x x,64.44±x x,75.82,#DIV/0!
,SeMoBridge,8,88.18±0.39 0:00:00,91.96±0.39 0:00:00,28.85±0.69 0:00:00,63.91±0.28 0:00:00,73.07±2.63 0:00:00,67.97±0.23 0:00:00,78.62±0.26 0:00:00,68.99±0.16 0:00:00,92.41±0.12 0:00:00,75.66±0.39 0:00:00,63.42±0.09 0:00:00,72.09,
,SeMoBridge-T,8,89.50±0.47 0:00:29,93.54±0.45 0:00:30,32.53±0.53 0:00:58,65.78±0.38 0:00:24,80.91±1.87 0:00:21,71.51±0.26 0:00:22,79.09±0.25 0:00:35,70.78±0.30 0:00:27,92.88±0.39 0:00:30,76.99±0.27 0:00:23,64.46±0.08 0:00:54,74.36,0:00:32
,CoOp,16,87.01,94.51,31.26,63.58,83.53,73.36,74.67,69.26,91.83,75.71,62.95,73.42,
,CLIP-Adapter,16,88.73,94.1,31.37,65.03,84.97,74.1,79.03,69.73,92.39,76.3,63.7,74.50,
,Tip-Adapter,16,88.53,89.81,29.94,60.7,70.63,66.71,77.87,66.83,90.18,70.68,62.03,70.36,
,Tip-Adapter-F,16,89.64,94.44,35.13,66.61,84.98,75.31,79.28,71.37,92.86,77.5,65.51,75.69,
,Tip-X,16,89.86,90.29,30.12,63.53,73.16,67.3,77.93,68,90.7,71.95,62.16,71.36,
,APE,16,88.88,91.96,31.26,67.73,78.16,70.31,78.5,69.72,92.49,74.49,63.42,73.36,
,APE-T,16,90.24,96.14,39.62,69.66,86.7,76.53,79.53,72.73,93.14,79.73,66.07,77.28,
,LDC,16,90.54±x x,96.39±x x,53.47±x x,71.63±x x,90.20±x x,81.21±x x,79.28±x x,72.72±x x,93.63±x x,82.26±x x,66.63±x x,79.81,#DIV/0!
,SeMoBridge,16,88.63±0.33 0:00:00,93.45±0.42 0:00:00,31.87±0.64 0:00:00,64.86±0.52 0:00:00,77.32±0.69 0:00:00,71.78±0.20 0:00:00,78.79±0.26 0:00:00,70.28±0.06 0:00:00,93.18±0.12 0:00:00,76.77±0.49 0:00:00,64.13±0.15 0:00:00,73.73,
,SeMoBridge-T,16,90.08±0.51 0:00:30,95.07±0.28 0:00:30,38.38±0.97 0:00:47,68.77±0.47 0:00:23,86.45±0.39 0:00:24,76.65±0.08 0:00:20,79.54±0.12 0:00:34,72.16±0.20 0:00:43,93.85±0.28 0:00:23,79.69±0.05 0:00:24,65.48±0.08 0:01:45,76.92,0:00:37
